STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,EDUCATION_LEV,,EXP_SOURCE,,EXP_DESTINATION,,EXPENDITURE_TYPE,,PRICE_BASE,,UNIT_MEASURE,,Q_SHEET,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,,Q_SHEET_ROW_ID,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,IND,,FIN_PERSTUD,,ISCED11_1T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,,,O,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,CRI,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,,,O,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,LVA,,FIN_PERSTUD,,ISCED11_34,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,8715.75293645404,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,NZL,,FIN_PERSTUD,,ISCED11_5T8,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,38.4157810905936,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,USA,,FIN_PERSTUD,,ISCED11_3,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,16683.0799798645,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,GBR,,FIN_PERSTUD,,ISCED11_4,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,,,M,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,LTU,,FIN_PERSTUD,,ISCED11_5,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,,,M,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,LUX,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,25583.5671223234,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,FRA,,FIN_PERSTUD,,ISCED11_1,,_T,,INST_EDU,,DIR_EXP,,_Z,,PT_B1GQ_POP,,_Z,,2021,,19.7404241603769,,A,,0,,0,,,,_Z,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(3.0),,I,HUN,,FIN_PERSTUD,,ISCED11_34,,_T,,INST_EDU,,DIR_EXP,,V,,USD_PPP_ST,,_Z,,2021,,8023.97274208639,,A,,0,,0,,,,_Z,
